#step	total	overlap	contact	SC-SC	stiff
0	-6117.2	112.8	0.0	-6230.0	0.0
0	-6117.2	112.8	0.0	-6230.0	0.0
2500000	-5850.7	155.3	0.0	-6006.0	0.0
5000000	-5809.6	146.4	0.0	-5956.0	0.0
7500000	-5740.7	185.3	0.0	-5926.0	0.0
10000000	-5770.5	217.5	0.0	-5988.0	0.0
12500000	-5675.2	230.8	0.0	-5906.0	0.0
15000000	-5837.5	188.5	0.0	-6026.0	0.0
17500000	-5774.9	217.1	0.0	-5992.0	0.0
20000000	-5627.6	196.4	0.0	-5824.0	0.0
22500000	-5711.3	220.7	0.0	-5932.0	0.0
25000000	-5717.2	236.8	0.0	-5954.0	0.0
27500000	-5729.8	192.2	0.0	-5922.0	0.0
30000000	-5742.8	241.2	0.0	-5984.0	0.0
32500000	-5710.1	217.9	0.0	-5928.0	0.0
35000000	-5722.3	227.7	0.0	-5950.0	0.0
37500000	-5792.9	173.1	0.0	-5966.0	0.0
40000000	-5777.7	184.3	0.0	-5962.0	0.0
42500000	-5846.3	201.7	0.0	-6048.0	0.0
45000000	-5809.4	214.6	0.0	-6024.0	0.0
47500000	-5728.6	173.4	0.0	-5902.0	0.0
50000000	-5906.6	177.4	0.0	-6084.0	0.0
52500000	-5882.5	175.5	0.0	-6058.0	0.0
55000000	-5782.3	159.7	0.0	-5942.0	0.0
57500000	-5789.0	199.0	0.0	-5988.0	0.0
60000000	-5725.4	204.6	0.0	-5930.0	0.0
62500000	-5856.4	183.6	0.0	-6040.0	0.0
65000000	-5747.7	228.3	0.0	-5976.0	0.0
67500000	-5696.5	203.5	0.0	-5900.0	0.0
70000000	-5852.4	219.6	0.0	-6072.0	0.0
72500000	-5712.5	203.5	0.0	-5916.0	0.0
75000000	-5897.9	174.1	0.0	-6072.0	0.0
77500000	-5708.7	221.3	0.0	-5930.0	0.0
80000000	-5717.6	234.4	0.0	-5952.0	0.0
82500000	-5812.8	195.2	0.0	-6008.0	0.0
85000000	-5611.1	246.9	0.0	-5858.0	0.0
87500000	-5727.8	196.2	0.0	-5924.0	0.0
90000000	-5744.7	193.3	0.0	-5938.0	0.0
92500000	-5730.4	183.6	0.0	-5914.0	0.0
95000000	-5645.2	198.8	0.0	-5844.0	0.0
97500000	-5808.4	173.6	0.0	-5982.0	0.0
100000000	-5811.6	196.4	0.0	-6008.0	0.0
102500000	-5678.5	247.5	0.0	-5926.0	0.0
105000000	-5662.9	217.1	0.0	-5880.0	0.0
107500000	-5674.6	223.4	0.0	-5898.0	0.0
110000000	-5868.5	187.5	0.0	-6056.0	0.0
112500000	-5838.7	197.3	0.0	-6036.0	0.0
115000000	-5766.2	193.8	0.0	-5960.0	0.0
117500000	-5773.9	216.1	0.0	-5990.0	0.0
120000000	-5737.8	208.2	0.0	-5946.0	0.0
122500000	-5840.7	185.3	0.0	-6026.0	0.0
125000000	-5837.6	206.4	0.0	-6044.0	0.0
127500000	-5847.6	180.4	0.0	-6028.0	0.0
130000000	-5755.0	207.0	0.0	-5962.0	0.0
132500000	-5771.9	198.1	0.0	-5970.0	0.0
135000000	-5782.4	177.6	0.0	-5960.0	0.0
137500000	-5763.8	214.2	0.0	-5978.0	0.0
140000000	-5726.3	217.7	0.0	-5944.0	0.0
142500000	-5882.4	193.6	0.0	-6076.0	0.0
145000000	-5834.0	166.0	0.0	-6000.0	0.0
147500000	-5776.0	182.0	0.0	-5958.0	0.0
150000000	-5739.2	194.8	0.0	-5934.0	0.0
152500000	-5839.3	212.7	0.0	-6052.0	0.0
155000000	-5896.8	141.2	0.0	-6038.0	0.0
157500000	-5647.9	224.1	0.0	-5872.0	0.0
160000000	-5767.0	187.0	0.0	-5954.0	0.0
162500000	-5889.8	170.2	0.0	-6060.0	0.0
165000000	-5829.8	190.2	0.0	-6020.0	0.0
167500000	-5642.4	241.6	0.0	-5884.0	0.0
170000000	-5889.8	178.2	0.0	-6068.0	0.0
172500000	-5847.3	196.7	0.0	-6044.0	0.0
175000000	-5768.4	213.6	0.0	-5982.0	0.0
177500000	-5776.2	225.8	0.0	-6002.0	0.0
180000000	-5844.0	192.0	0.0	-6036.0	0.0
182500000	-5678.3	241.7	0.0	-5920.0	0.0
185000000	-5793.1	182.9	0.0	-5976.0	0.0
187500000	-5802.4	203.6	0.0	-6006.0	0.0
190000000	-5814.5	225.5	0.0	-6040.0	0.0
192500000	-5777.8	188.2	0.0	-5966.0	0.0
195000000	-5835.5	158.5	0.0	-5994.0	0.0
197500000	-5787.1	194.9	0.0	-5982.0	0.0
200000000	-5654.0	210.0	0.0	-5864.0	0.0
