#step	total	overlap	contact	SC-SC	stiff
0	1271.7	1271.7	0.0	0.0	0.0
2500000	1196.2	1196.2	0.0	0.0	0.0
5000000	1207.8	1207.8	0.0	0.0	0.0
7500000	1158.0	1158.0	0.0	0.0	0.0
10000000	1174.6	1174.6	0.0	0.0	0.0
12500001	-6410.7	85.3	0.0	-6496.0	0.0
15000001	-6664.3	33.7	0.0	-6698.0	0.0
17500001	-6693.9	-19.9	0.0	-6674.0	0.0
20000001	-6714.4	23.6	0.0	-6738.0	0.0
22500001	-6664.0	16.0	0.0	-6680.0	0.0
25000001	-6743.5	-15.5	0.0	-6728.0	0.0
27500001	-6693.9	-19.9	0.0	-6674.0	0.0
30000001	-6784.5	-16.5	0.0	-6768.0	0.0
32500001	-6809.1	-23.1	0.0	-6786.0	0.0
35000001	-6671.8	14.2	0.0	-6686.0	0.0
37500001	-6714.3	-10.3	0.0	-6704.0	0.0
40000001	-6758.8	-28.8	0.0	-6730.0	0.0
42500001	-6767.6	-13.6	0.0	-6754.0	0.0
45000001	-6672.6	-0.6	0.0	-6672.0	0.0
47500001	-6743.1	-3.1	0.0	-6740.0	0.0
50000001	-6698.5	35.5	0.0	-6734.0	0.0
52500001	-6744.1	-0.1	0.0	-6744.0	0.0
55000001	-6720.2	-2.2	0.0	-6718.0	0.0
57500001	-6713.9	-17.9	0.0	-6696.0	0.0
60000001	-6753.6	-31.6	0.0	-6722.0	0.0
62500001	-6685.4	14.6	0.0	-6700.0	0.0
65000001	-6778.7	-12.7	0.0	-6766.0	0.0
67500001	-6831.9	-37.9	0.0	-6794.0	0.0
70000001	-6670.6	-10.6	0.0	-6660.0	0.0
72500001	-6749.3	-9.3	0.0	-6740.0	0.0
75000001	-6729.0	-35.0	0.0	-6694.0	0.0
77500001	-6855.4	-67.4	0.0	-6788.0	0.0
80000001	-6819.2	-31.2	0.0	-6788.0	0.0
82500001	-6798.4	-30.4	0.0	-6768.0	0.0
85000001	-6612.0	22.0	0.0	-6634.0	0.0
87500001	-6606.7	-2.7	0.0	-6604.0	0.0
90000001	-6715.7	-3.7	0.0	-6712.0	0.0
92500001	-6671.8	2.2	0.0	-6674.0	0.0
95000001	-6863.3	-51.3	0.0	-6812.0	0.0
97500001	-6813.6	-11.6	0.0	-6802.0	0.0
100000001	-6724.4	7.6	0.0	-6732.0	0.0
102500001	-6794.4	-20.4	0.0	-6774.0	0.0
105000001	-6728.5	3.5	0.0	-6732.0	0.0
107500001	-6729.0	19.0	0.0	-6748.0	0.0
110000001	-6733.4	22.6	0.0	-6756.0	0.0
112500001	-6712.3	-12.3	0.0	-6700.0	0.0
115000001	-6747.1	-21.1	0.0	-6726.0	0.0
117500001	-6839.8	-23.8	0.0	-6816.0	0.0
120000001	-6795.2	-21.2	0.0	-6774.0	0.0
122500001	-6766.6	-40.6	0.0	-6726.0	0.0
125000001	-6651.4	0.6	0.0	-6652.0	0.0
127500001	-6723.9	8.1	0.0	-6732.0	0.0
130000001	-6668.5	15.5	0.0	-6684.0	0.0
132500001	-6677.5	12.5	0.0	-6690.0	0.0
135000001	-6767.8	-17.8	0.0	-6750.0	0.0
137500001	-6818.7	-20.7	0.0	-6798.0	0.0
140000001	-6714.0	-0.0	0.0	-6714.0	0.0
142500001	-6751.8	-15.8	0.0	-6736.0	0.0
145000001	-6800.5	-50.5	0.0	-6750.0	0.0
147500001	-6744.3	-2.3	0.0	-6742.0	0.0
150000001	-6729.2	4.8	0.0	-6734.0	0.0
152500001	-6757.2	-9.2	0.0	-6748.0	0.0
155000001	-6789.6	-57.6	0.0	-6732.0	0.0
157500001	-6814.7	-34.7	0.0	-6780.0	0.0
160000001	-6732.4	-24.4	0.0	-6708.0	0.0
162500001	-6693.1	-7.1	0.0	-6686.0	0.0
165000001	-6823.5	-31.5	0.0	-6792.0	0.0
167500001	-6724.9	-2.9	0.0	-6722.0	0.0
170000001	-6841.2	-17.2	0.0	-6824.0	0.0
172500001	-6845.5	-25.5	0.0	-6820.0	0.0
175000001	-6751.4	-23.4	0.0	-6728.0	0.0
177500001	-6791.5	4.5	0.0	-6796.0	0.0
180000001	-6705.5	18.5	0.0	-6724.0	0.0
182500001	-6780.8	-28.8	0.0	-6752.0	0.0
185000001	-6745.7	-21.7	0.0	-6724.0	0.0
187500001	-6778.2	-6.2	0.0	-6772.0	0.0
190000001	-6667.3	12.7	0.0	-6680.0	0.0
192500001	-6679.8	-11.8	0.0	-6668.0	0.0
195000001	-6864.3	-46.3	0.0	-6818.0	0.0
197500001	-6754.2	-0.2	0.0	-6754.0	0.0
200000001	-6765.6	-9.6	0.0	-6756.0	0.0
202500001	-6848.5	-10.5	0.0	-6838.0	0.0
205000001	-6740.8	5.2	0.0	-6746.0	0.0
207500001	-6704.7	1.3	0.0	-6706.0	0.0
210000001	-6754.9	-28.9	0.0	-6726.0	0.0
