#step	total	overlap	contact	SC-SC	stiff
0	-4527.7	262.3	0.0	-4790.0	0.0
0	-4527.7	262.3	0.0	-4790.0	0.0
2500000	-4202.2	355.8	0.0	-4558.0	0.0
5000000	-3972.2	361.8	0.0	-4334.0	0.0
7500000	-3844.4	433.6	0.0	-4278.0	0.0
10000000	-3945.6	420.4	0.0	-4366.0	0.0
12500000	-4165.6	348.4	0.0	-4514.0	0.0
15000000	-4002.4	407.6	0.0	-4410.0	0.0
17500000	-4154.4	379.6	0.0	-4534.0	0.0
20000000	-3938.0	370.0	0.0	-4308.0	0.0
22500000	-3972.1	391.9	0.0	-4364.0	0.0
25000000	-3842.5	393.5	0.0	-4236.0	0.0
27500000	-4048.6	383.4	0.0	-4432.0	0.0
30000000	-4065.7	336.3	0.0	-4402.0	0.0
32500000	-4074.4	341.6	0.0	-4416.0	0.0
35000000	-4184.5	349.5	0.0	-4534.0	0.0
37500000	-4047.4	338.6	0.0	-4386.0	0.0
40000000	-4099.2	358.8	0.0	-4458.0	0.0
42500000	-4046.5	387.5	0.0	-4434.0	0.0
45000000	-4030.5	377.5	0.0	-4408.0	0.0
47500000	-4050.9	367.1	0.0	-4418.0	0.0
50000000	-4117.4	348.6	0.0	-4466.0	0.0
52500000	-4037.0	365.0	0.0	-4402.0	0.0
55000000	-4050.4	367.6	0.0	-4418.0	0.0
57500000	-3894.2	411.8	0.0	-4306.0	0.0
60000000	-3925.2	386.8	0.0	-4312.0	0.0
62500000	-4125.9	366.1	0.0	-4492.0	0.0
65000000	-4207.9	326.1	0.0	-4534.0	0.0
67500000	-4094.2	333.8	0.0	-4428.0	0.0
70000000	-3954.9	371.1	0.0	-4326.0	0.0
72500000	-4144.4	377.6	0.0	-4522.0	0.0
75000000	-4183.6	332.4	0.0	-4516.0	0.0
77500000	-4040.7	361.3	0.0	-4402.0	0.0
80000000	-3997.1	382.9	0.0	-4380.0	0.0
82500000	-4007.2	390.8	0.0	-4398.0	0.0
85000000	-4006.4	367.6	0.0	-4374.0	0.0
87500000	-3922.6	383.4	0.0	-4306.0	0.0
90000000	-4035.1	356.9	0.0	-4392.0	0.0
92500000	-3896.2	383.8	0.0	-4280.0	0.0
95000000	-4159.0	341.0	0.0	-4500.0	0.0
97500000	-4060.4	373.6	0.0	-4434.0	0.0
100000000	-4090.2	343.8	0.0	-4434.0	0.0
102500000	-3973.4	404.6	0.0	-4378.0	0.0
105000000	-3999.9	394.1	0.0	-4394.0	0.0
107500000	-4016.5	371.5	0.0	-4388.0	0.0
110000000	-4161.2	346.8	0.0	-4508.0	0.0
112500000	-3933.2	368.8	0.0	-4302.0	0.0
115000000	-3859.4	420.6	0.0	-4280.0	0.0
117500000	-4075.1	366.9	0.0	-4442.0	0.0
120000000	-3963.1	386.9	0.0	-4350.0	0.0
122500000	-4063.3	376.7	0.0	-4440.0	0.0
125000000	-3843.0	435.0	0.0	-4278.0	0.0
127500000	-4019.2	364.8	0.0	-4384.0	0.0
130000000	-3922.1	395.9	0.0	-4318.0	0.0
132500000	-3896.4	411.6	0.0	-4308.0	0.0
135000000	-3960.4	369.6	0.0	-4330.0	0.0
137500000	-4092.4	385.6	0.0	-4478.0	0.0
140000000	-3949.3	384.7	0.0	-4334.0	0.0
142500000	-3887.2	420.8	0.0	-4308.0	0.0
145000000	-3968.6	379.4	0.0	-4348.0	0.0
147500000	-3936.0	396.0	0.0	-4332.0	0.0
150000000	-4085.1	348.9	0.0	-4434.0	0.0
152500000	-4148.5	399.5	0.0	-4548.0	0.0
155000000	-4104.0	362.0	0.0	-4466.0	0.0
157500000	-4027.2	352.8	0.0	-4380.0	0.0
160000000	-3942.5	385.5	0.0	-4328.0	0.0
162500000	-4056.4	355.6	0.0	-4412.0	0.0
165000000	-4035.3	370.7	0.0	-4406.0	0.0
167500000	-4087.6	370.4	0.0	-4458.0	0.0
170000000	-3969.3	380.7	0.0	-4350.0	0.0
172500000	-3940.1	379.9	0.0	-4320.0	0.0
175000000	-3945.6	364.4	0.0	-4310.0	0.0
177500000	-4103.8	392.2	0.0	-4496.0	0.0
180000000	-4079.2	382.8	0.0	-4462.0	0.0
182500000	-4011.8	390.2	0.0	-4402.0	0.0
185000000	-3874.1	401.9	0.0	-4276.0	0.0
187500000	-4102.1	357.9	0.0	-4460.0	0.0
190000000	-3891.7	404.3	0.0	-4296.0	0.0
192500000	-3987.7	402.3	0.0	-4390.0	0.0
195000000	-3977.4	372.6	0.0	-4350.0	0.0
197500000	-4049.6	384.4	0.0	-4434.0	0.0
200000000	-3983.9	398.1	0.0	-4382.0	0.0
