#step	total	overlap	contact	SC-SC	stiff
0	1611.9	1611.9	0.0	0.0	0.0
2500000	1492.9	1492.9	0.0	0.0	0.0
5000000	1491.8	1491.8	0.0	0.0	0.0
7500000	1510.4	1510.4	0.0	0.0	0.0
10000000	1520.3	1520.3	0.0	0.0	0.0
12500001	-4570.7	289.3	0.0	-4860.0	0.0
15000001	-5198.0	150.0	0.0	-5348.0	0.0
17500001	-5459.0	111.0	0.0	-5570.0	0.0
20000001	-5574.0	94.0	0.0	-5668.0	0.0
22500001	-5583.2	68.8	0.0	-5652.0	0.0
25000001	-5710.6	47.4	0.0	-5758.0	0.0
27500001	-5614.3	89.7	0.0	-5704.0	0.0
30000001	-5686.2	93.8	0.0	-5780.0	0.0
32500001	-5670.4	69.6	0.0	-5740.0	0.0
35000001	-5680.1	71.9	0.0	-5752.0	0.0
37500001	-5730.5	49.5	0.0	-5780.0	0.0
40000001	-5687.8	58.2	0.0	-5746.0	0.0
42500001	-5727.9	30.1	0.0	-5758.0	0.0
45000001	-5819.8	58.2	0.0	-5878.0	0.0
47500001	-5764.4	57.6	0.0	-5822.0	0.0
50000001	-5576.4	97.6	0.0	-5674.0	0.0
52500001	-5677.6	56.4	0.0	-5734.0	0.0
55000001	-5740.6	51.4	0.0	-5792.0	0.0
57500001	-5729.1	76.9	0.0	-5806.0	0.0
60000001	-5720.2	55.8	0.0	-5776.0	0.0
62500001	-5777.2	64.8	0.0	-5842.0	0.0
65000001	-5755.3	48.7	0.0	-5804.0	0.0
67500001	-5784.0	40.0	0.0	-5824.0	0.0
70000001	-5649.1	66.9	0.0	-5716.0	0.0
72500001	-5690.3	53.7	0.0	-5744.0	0.0
75000001	-5725.1	50.9	0.0	-5776.0	0.0
77500001	-5661.0	83.0	0.0	-5744.0	0.0
80000001	-5610.5	75.5	0.0	-5686.0	0.0
82500001	-5738.7	65.3	0.0	-5804.0	0.0
85000001	-5674.0	70.0	0.0	-5744.0	0.0
87500001	-5696.4	73.6	0.0	-5770.0	0.0
90000001	-5639.7	64.3	0.0	-5704.0	0.0
92500001	-5680.4	59.6	0.0	-5740.0	0.0
95000001	-5739.6	36.4	0.0	-5776.0	0.0
97500001	-5658.7	51.3	0.0	-5710.0	0.0
100000001	-5618.6	67.4	0.0	-5686.0	0.0
102500001	-5555.4	68.6	0.0	-5624.0	0.0
105000001	-5695.9	60.1	0.0	-5756.0	0.0
107500001	-5713.6	42.4	0.0	-5756.0	0.0
110000001	-5661.0	51.0	0.0	-5712.0	0.0
112500001	-5719.5	66.5	0.0	-5786.0	0.0
115000001	-5798.8	71.2	0.0	-5870.0	0.0
117500001	-5631.0	95.0	0.0	-5726.0	0.0
120000001	-5713.7	30.3	0.0	-5744.0	0.0
122500001	-5643.8	34.2	0.0	-5678.0	0.0
125000001	-5827.2	32.8	0.0	-5860.0	0.0
127500001	-5704.2	57.8	0.0	-5762.0	0.0
130000001	-5652.4	63.6	0.0	-5716.0	0.0
132500001	-5673.2	66.8	0.0	-5740.0	0.0
135000001	-5628.7	73.3	0.0	-5702.0	0.0
137500001	-5802.8	53.2	0.0	-5856.0	0.0
140000001	-5647.3	82.7	0.0	-5730.0	0.0
142500001	-5694.0	78.0	0.0	-5772.0	0.0
145000001	-5671.1	66.9	0.0	-5738.0	0.0
147500001	-5746.5	49.5	0.0	-5796.0	0.0
150000001	-5702.5	69.5	0.0	-5772.0	0.0
152500001	-5715.2	78.8	0.0	-5794.0	0.0
155000001	-5548.4	87.6	0.0	-5636.0	0.0
157500001	-5872.2	31.8	0.0	-5904.0	0.0
160000001	-5712.3	71.7	0.0	-5784.0	0.0
162500001	-5829.6	34.4	0.0	-5864.0	0.0
165000001	-5659.0	87.0	0.0	-5746.0	0.0
167500001	-5707.6	58.4	0.0	-5766.0	0.0
170000001	-5605.9	96.1	0.0	-5702.0	0.0
172500001	-5743.5	56.5	0.0	-5800.0	0.0
175000001	-5826.2	33.8	0.0	-5860.0	0.0
177500001	-5781.4	44.6	0.0	-5826.0	0.0
180000001	-5604.0	82.0	0.0	-5686.0	0.0
182500001	-5653.2	62.8	0.0	-5716.0	0.0
185000001	-5610.3	87.7	0.0	-5698.0	0.0
187500001	-5718.5	93.5	0.0	-5812.0	0.0
190000001	-5806.7	63.3	0.0	-5870.0	0.0
192500001	-5794.3	45.7	0.0	-5840.0	0.0
195000001	-5633.4	74.6	0.0	-5708.0	0.0
197500001	-5738.2	65.8	0.0	-5804.0	0.0
200000001	-5697.7	64.3	0.0	-5762.0	0.0
202500001	-5791.3	78.7	0.0	-5870.0	0.0
205000001	-5864.7	51.3	0.0	-5916.0	0.0
207500001	-5631.5	58.5	0.0	-5690.0	0.0
210000001	-5644.3	39.7	0.0	-5684.0	0.0
