#step	total	overlap	contact	SC-SC	stiff
0	-8092.8	-346.8	0.0	-7746.0	0.0
0	-8092.8	-346.8	0.0	-7746.0	0.0
2500000	-8060.9	-288.9	0.0	-7772.0	0.0
5000000	-7854.0	-248.0	0.0	-7606.0	0.0
7500000	-7857.1	-257.1	0.0	-7600.0	0.0
10000000	-7849.8	-283.8	0.0	-7566.0	0.0
12500000	-7801.0	-247.0	0.0	-7554.0	0.0
15000000	-7780.6	-222.6	0.0	-7558.0	0.0
17500000	-7748.5	-240.5	0.0	-7508.0	0.0
20000000	-7767.2	-217.2	0.0	-7550.0	0.0
22500000	-7765.5	-191.5	0.0	-7574.0	0.0
25000000	-7713.0	-245.0	0.0	-7468.0	0.0
27500000	-7757.9	-229.9	0.0	-7528.0	0.0
30000000	-7846.3	-294.3	0.0	-7552.0	0.0
32500000	-7747.6	-255.6	0.0	-7492.0	0.0
35000000	-7848.5	-254.5	0.0	-7594.0	0.0
37500000	-7725.5	-255.5	0.0	-7470.0	0.0
40000000	-7758.3	-244.3	0.0	-7514.0	0.0
42500000	-7796.3	-250.3	0.0	-7546.0	0.0
45000000	-7823.1	-285.1	0.0	-7538.0	0.0
47500000	-7855.8	-255.8	0.0	-7600.0	0.0
50000000	-7808.1	-252.1	0.0	-7556.0	0.0
52500000	-7760.5	-248.5	0.0	-7512.0	0.0
55000000	-7724.2	-236.2	0.0	-7488.0	0.0
57500000	-7870.6	-258.6	0.0	-7612.0	0.0
60000000	-7713.5	-229.5	0.0	-7484.0	0.0
62500000	-7810.0	-266.0	0.0	-7544.0	0.0
65000000	-7858.0	-264.0	0.0	-7594.0	0.0
67500000	-7818.7	-240.7	0.0	-7578.0	0.0
70000000	-7704.1	-238.1	0.0	-7466.0	0.0
72500000	-7876.4	-266.4	0.0	-7610.0	0.0
75000000	-7793.9	-269.9	0.0	-7524.0	0.0
77500000	-7911.3	-249.3	0.0	-7662.0	0.0
80000000	-7843.5	-245.5	0.0	-7598.0	0.0
82500000	-7742.0	-246.0	0.0	-7496.0	0.0
85000000	-7772.3	-246.3	0.0	-7526.0	0.0
87500000	-7785.4	-289.4	0.0	-7496.0	0.0
90000000	-7824.6	-294.6	0.0	-7530.0	0.0
92500000	-7841.6	-287.6	0.0	-7554.0	0.0
95000000	-7765.2	-239.2	0.0	-7526.0	0.0
97500000	-7797.6	-267.6	0.0	-7530.0	0.0
100000000	-7782.4	-230.4	0.0	-7552.0	0.0
102500000	-7695.9	-261.9	0.0	-7434.0	0.0
105000000	-7743.3	-255.3	0.0	-7488.0	0.0
107500000	-7641.7	-255.7	0.0	-7386.0	0.0
110000000	-7755.5	-271.5	0.0	-7484.0	0.0
112500000	-7746.3	-282.3	0.0	-7464.0	0.0
115000000	-7693.9	-255.9	0.0	-7438.0	0.0
117500000	-7660.3	-268.3	0.0	-7392.0	0.0
120000000	-7694.4	-222.4	0.0	-7472.0	0.0
122500000	-7746.9	-274.9	0.0	-7472.0	0.0
125000000	-7704.1	-266.1	0.0	-7438.0	0.0
127500000	-7756.1	-330.1	0.0	-7426.0	0.0
130000000	-7740.7	-280.7	0.0	-7460.0	0.0
132500000	-7752.5	-284.5	0.0	-7468.0	0.0
135000000	-7820.6	-280.6	0.0	-7540.0	0.0
137500000	-7769.2	-273.2	0.0	-7496.0	0.0
140000000	-7779.3	-235.3	0.0	-7544.0	0.0
142500000	-7879.5	-335.5	0.0	-7544.0	0.0
145000000	-7851.1	-281.1	0.0	-7570.0	0.0
147500000	-7902.7	-316.7	0.0	-7586.0	0.0
150000000	-7873.3	-297.3	0.0	-7576.0	0.0
152500000	-7872.9	-248.9	0.0	-7624.0	0.0
155000000	-7819.8	-287.8	0.0	-7532.0	0.0
157500000	-7706.9	-282.9	0.0	-7424.0	0.0
160000000	-7857.7	-265.7	0.0	-7592.0	0.0
162500000	-7685.3	-265.3	0.0	-7420.0	0.0
165000000	-7903.0	-321.0	0.0	-7582.0	0.0
167500000	-7780.2	-308.2	0.0	-7472.0	0.0
170000000	-7824.0	-296.0	0.0	-7528.0	0.0
172500000	-7770.5	-252.5	0.0	-7518.0	0.0
175000000	-7797.3	-279.3	0.0	-7518.0	0.0
177500000	-7816.1	-278.1	0.0	-7538.0	0.0
180000000	-7750.1	-262.1	0.0	-7488.0	0.0
182500000	-7784.1	-262.1	0.0	-7522.0	0.0
185000000	-7909.6	-295.6	0.0	-7614.0	0.0
187500000	-7836.0	-276.0	0.0	-7560.0	0.0
190000000	-7772.3	-248.3	0.0	-7524.0	0.0
192500000	-7826.6	-258.6	0.0	-7568.0	0.0
195000000	-7736.2	-276.2	0.0	-7460.0	0.0
197500000	-7838.1	-308.1	0.0	-7530.0	0.0
200000000	-7807.2	-307.2	0.0	-7500.0	0.0
