#step	total	overlap	contact	SC-SC	stiff
0	55200985088.0	55200985088.0	0.0	0.0	0.0
2500000	1165210112.0	1165210112.0	0.0	0.0	0.0
5000000	779005376.0	779005376.0	0.0	0.0	0.0
7500000	686189056.0	686189056.0	0.0	0.0	0.0
10000000	666593024.0	666593024.0	0.0	0.0	0.0
12500001	303999.4	311677.4	0.0	-7678.0	0.0
15000001	131277.1	139191.1	0.0	-7914.0	0.0
17500001	54864.2	62550.2	0.0	-7686.0	0.0
20000001	18466.4	25998.4	0.0	-7532.0	0.0
22500001	3630.0	11288.0	0.0	-7658.0	0.0
25000001	-6240.0	504.0	0.0	-6744.0	0.0
27500001	-7224.7	89.3	0.0	-7314.0	0.0
30000001	-7563.8	-97.8	0.0	-7466.0	0.0
32500001	-7857.4	-165.4	0.0	-7692.0	0.0
35000001	-7992.2	-184.2	0.0	-7808.0	0.0
37500001	-7985.7	-147.7	0.0	-7838.0	0.0
40000001	-7984.7	-184.7	0.0	-7800.0	0.0
42500001	-8188.4	-252.4	0.0	-7936.0	0.0
45000001	-8232.6	-236.6	0.0	-7996.0	0.0
47500001	-8241.2	-237.2	0.0	-8004.0	0.0
50000001	-8257.9	-283.9	0.0	-7974.0	0.0
52500001	-8357.0	-291.0	0.0	-8066.0	0.0
55000001	-8233.9	-243.9	0.0	-7990.0	0.0
57500001	-8300.3	-294.3	0.0	-8006.0	0.0
60000001	-8224.2	-280.2	0.0	-7944.0	0.0
62500001	-8354.4	-286.4	0.0	-8068.0	0.0
65000001	-8388.8	-292.8	0.0	-8096.0	0.0
67500001	-8364.0	-304.0	0.0	-8060.0	0.0
70000001	-8465.0	-329.0	0.0	-8136.0	0.0
72500001	-8456.4	-336.4	0.0	-8120.0	0.0
75000001	-8314.2	-262.2	0.0	-8052.0	0.0
77500001	-8330.8	-294.8	0.0	-8036.0	0.0
80000001	-8411.0	-295.0	0.0	-8116.0	0.0
82500001	-8403.7	-309.7	0.0	-8094.0	0.0
85000001	-8432.6	-342.6	0.0	-8090.0	0.0
87500001	-8337.3	-295.3	0.0	-8042.0	0.0
90000001	-8372.1	-316.1	0.0	-8056.0	0.0
92500001	-8408.6	-268.6	0.0	-8140.0	0.0
95000001	-8398.8	-282.8	0.0	-8116.0	0.0
97500001	-8322.4	-260.4	0.0	-8062.0	0.0
100000001	-8555.5	-349.5	0.0	-8206.0	0.0
102500001	-8334.5	-326.5	0.0	-8008.0	0.0
105000001	-8496.5	-344.5	0.0	-8152.0	0.0
107500001	-8469.3	-311.3	0.0	-8158.0	0.0
110000001	-8321.8	-281.8	0.0	-8040.0	0.0
112500001	-8423.4	-351.4	0.0	-8072.0	0.0
115000001	-8505.6	-331.6	0.0	-8174.0	0.0
117500001	-8545.6	-407.6	0.0	-8138.0	0.0
120000001	-8457.9	-355.9	0.0	-8102.0	0.0
122500001	-8559.6	-397.6	0.0	-8162.0	0.0
125000001	-8449.1	-353.1	0.0	-8096.0	0.0
127500001	-8380.1	-324.1	0.0	-8056.0	0.0
130000001	-8419.0	-303.0	0.0	-8116.0	0.0
132500001	-8465.6	-319.6	0.0	-8146.0	0.0
135000001	-8440.7	-340.7	0.0	-8100.0	0.0
137500001	-8445.7	-323.7	0.0	-8122.0	0.0
140000001	-8393.9	-291.9	0.0	-8102.0	0.0
142500001	-8481.6	-355.6	0.0	-8126.0	0.0
145000001	-8424.4	-356.4	0.0	-8068.0	0.0
147500001	-8408.2	-340.2	0.0	-8068.0	0.0
150000001	-8415.3	-387.3	0.0	-8028.0	0.0
152500001	-8450.4	-338.4	0.0	-8112.0	0.0
155000001	-8417.4	-345.4	0.0	-8072.0	0.0
157500001	-8471.5	-331.5	0.0	-8140.0	0.0
160000001	-8528.4	-380.4	0.0	-8148.0	0.0
162500001	-8468.5	-356.5	0.0	-8112.0	0.0
165000001	-8416.1	-328.1	0.0	-8088.0	0.0
167500001	-8396.6	-294.6	0.0	-8102.0	0.0
170000001	-8464.5	-358.5	0.0	-8106.0	0.0
172500001	-8449.9	-351.9	0.0	-8098.0	0.0
175000001	-8417.8	-335.8	0.0	-8082.0	0.0
177500001	-8352.0	-336.0	0.0	-8016.0	0.0
180000001	-8300.1	-306.1	0.0	-7994.0	0.0
182500001	-8421.5	-373.5	0.0	-8048.0	0.0
185000001	-8331.7	-357.7	0.0	-7974.0	0.0
187500001	-8357.7	-335.7	0.0	-8022.0	0.0
190000001	-8465.6	-363.6	0.0	-8102.0	0.0
192500001	-8432.2	-362.2	0.0	-8070.0	0.0
195000001	-8298.3	-274.3	0.0	-8024.0	0.0
197500001	-8390.5	-356.5	0.0	-8034.0	0.0
200000001	-8424.4	-352.4	0.0	-8072.0	0.0
202500001	-8367.4	-373.4	0.0	-7994.0	0.0
205000001	-8381.5	-333.5	0.0	-8048.0	0.0
207500001	-8436.5	-384.5	0.0	-8052.0	0.0
210000001	-8436.4	-342.4	0.0	-8094.0	0.0
