#step	total	overlap	contact	SC-SC	stiff
0	316826648576.0	316826648576.0	0.0	0.0	0.0
2500000	5041008640.0	5041008640.0	0.0	0.0	0.0
5000000	2941840896.0	2941840896.0	0.0	0.0	0.0
7500000	1837380224.0	1837380224.0	0.0	0.0	0.0
10000000	1203086336.0	1203086336.0	0.0	0.0	0.0
12500001	387301.8	387801.8	0.0	-500.0	0.0
15000001	127683.8	128245.8	0.0	-562.0	0.0
17500001	42911.3	43503.3	0.0	-592.0	0.0
20000001	14611.5	15247.5	0.0	-636.0	0.0
22500001	4896.0	5544.0	0.0	-648.0	0.0
25000001	-642.0	0.0	0.0	-642.0	0.0
27500001	-664.0	0.0	0.0	-664.0	0.0
30000001	-686.0	0.0	0.0	-686.0	0.0
32500001	-710.0	0.0	0.0	-710.0	0.0
35000001	-690.0	0.0	0.0	-690.0	0.0
37500001	-714.0	0.0	0.0	-714.0	0.0
40000001	-690.0	0.0	0.0	-690.0	0.0
42500001	-680.0	0.0	0.0	-680.0	0.0
45000001	-692.0	0.0	0.0	-692.0	0.0
47500001	-706.0	0.0	0.0	-706.0	0.0
50000001	-702.0	0.0	0.0	-702.0	0.0
52500001	-690.0	0.0	0.0	-690.0	0.0
55000001	-706.0	0.0	0.0	-706.0	0.0
57500001	-712.0	0.0	0.0	-712.0	0.0
60000001	-704.0	0.0	0.0	-704.0	0.0
62500001	-696.0	0.0	0.0	-696.0	0.0
65000001	-682.0	0.0	0.0	-682.0	0.0
67500001	-698.0	0.0	0.0	-698.0	0.0
70000001	-692.0	0.0	0.0	-692.0	0.0
72500001	-716.0	0.0	0.0	-716.0	0.0
75000001	-698.0	0.0	0.0	-698.0	0.0
77500001	-706.0	0.0	0.0	-706.0	0.0
80000001	-696.0	0.0	0.0	-696.0	0.0
82500001	-682.0	0.0	0.0	-682.0	0.0
85000001	-716.0	0.0	0.0	-716.0	0.0
87500001	-706.0	0.0	0.0	-706.0	0.0
90000001	-686.0	0.0	0.0	-686.0	0.0
92500001	-690.0	0.0	0.0	-690.0	0.0
95000001	-692.0	0.0	0.0	-692.0	0.0
97500001	-694.0	0.0	0.0	-694.0	0.0
100000001	-688.0	0.0	0.0	-688.0	0.0
102500001	-712.0	0.0	0.0	-712.0	0.0
105000001	-694.0	0.0	0.0	-694.0	0.0
107500001	-690.0	0.0	0.0	-690.0	0.0
110000001	-710.0	0.0	0.0	-710.0	0.0
112500001	-728.0	0.0	0.0	-728.0	0.0
115000001	-720.0	0.0	0.0	-720.0	0.0
117500001	-686.0	0.0	0.0	-686.0	0.0
120000001	-686.0	0.0	0.0	-686.0	0.0
122500001	-686.0	0.0	0.0	-686.0	0.0
125000001	-660.0	0.0	0.0	-660.0	0.0
127500001	-684.0	0.0	0.0	-684.0	0.0
130000001	-716.0	0.0	0.0	-716.0	0.0
132500001	-700.0	0.0	0.0	-700.0	0.0
135000001	-704.0	0.0	0.0	-704.0	0.0
137500001	-706.0	0.0	0.0	-706.0	0.0
140000001	-672.0	0.0	0.0	-672.0	0.0
142500001	-702.0	0.0	0.0	-702.0	0.0
145000001	-722.0	0.0	0.0	-722.0	0.0
147500001	-700.0	0.0	0.0	-700.0	0.0
150000001	-718.0	0.0	0.0	-718.0	0.0
152500001	-714.0	0.0	0.0	-714.0	0.0
155000001	-722.0	0.0	0.0	-722.0	0.0
157500001	-712.0	0.0	0.0	-712.0	0.0
160000001	-696.0	0.0	0.0	-696.0	0.0
162500001	-676.0	0.0	0.0	-676.0	0.0
165000001	-684.0	0.0	0.0	-684.0	0.0
167500001	-686.0	0.0	0.0	-686.0	0.0
170000001	-682.0	0.0	0.0	-682.0	0.0
172500001	-712.0	0.0	0.0	-712.0	0.0
175000001	-682.0	0.0	0.0	-682.0	0.0
177500001	-674.0	0.0	0.0	-674.0	0.0
180000001	-676.0	0.0	0.0	-676.0	0.0
182500001	-686.0	0.0	0.0	-686.0	0.0
185000001	-724.0	0.0	0.0	-724.0	0.0
187500001	-700.0	0.0	0.0	-700.0	0.0
190000001	-684.0	0.0	0.0	-684.0	0.0
192500001	-700.0	0.0	0.0	-700.0	0.0
195000001	-684.0	0.0	0.0	-684.0	0.0
197500001	-702.0	0.0	0.0	-702.0	0.0
200000001	-710.0	0.0	0.0	-710.0	0.0
202500001	-712.0	0.0	0.0	-712.0	0.0
205000001	-718.0	0.0	0.0	-718.0	0.0
207500001	-710.0	0.0	0.0	-710.0	0.0
210000001	-700.0	0.0	0.0	-700.0	0.0
