#step	total	overlap	contact	SC-SC	stiff
0	0.0	0.0	0.0	0.0	0.0
2500000	0.0	0.0	0.0	0.0	0.0
5000000	0.0	0.0	0.0	0.0	0.0
7500000	0.0	0.0	0.0	0.0	0.0
10000000	0.0	0.0	0.0	0.0	0.0
12500001	-666.0	0.0	0.0	-666.0	0.0
15000001	-722.0	0.0	0.0	-722.0	0.0
17500001	-744.0	0.0	0.0	-744.0	0.0
20000001	-740.0	0.0	0.0	-740.0	0.0
22500001	-718.0	0.0	0.0	-718.0	0.0
25000001	-732.0	0.0	0.0	-732.0	0.0
27500001	-732.0	0.0	0.0	-732.0	0.0
30000001	-744.0	0.0	0.0	-744.0	0.0
32500001	-726.0	0.0	0.0	-726.0	0.0
35000001	-744.0	0.0	0.0	-744.0	0.0
37500001	-726.0	0.0	0.0	-726.0	0.0
40000001	-742.0	0.0	0.0	-742.0	0.0
42500001	-730.0	0.0	0.0	-730.0	0.0
45000001	-748.0	0.0	0.0	-748.0	0.0
47500001	-722.0	0.0	0.0	-722.0	0.0
50000001	-744.0	0.0	0.0	-744.0	0.0
52500001	-740.0	0.0	0.0	-740.0	0.0
55000001	-732.0	0.0	0.0	-732.0	0.0
57500001	-730.0	0.0	0.0	-730.0	0.0
60000001	-722.0	0.0	0.0	-722.0	0.0
62500001	-730.0	0.0	0.0	-730.0	0.0
65000001	-764.0	0.0	0.0	-764.0	0.0
67500001	-738.0	0.0	0.0	-738.0	0.0
70000001	-736.0	0.0	0.0	-736.0	0.0
72500001	-706.0	0.0	0.0	-706.0	0.0
75000001	-736.0	0.0	0.0	-736.0	0.0
77500001	-740.0	0.0	0.0	-740.0	0.0
80000001	-738.0	0.0	0.0	-738.0	0.0
82500001	-730.0	0.0	0.0	-730.0	0.0
85000001	-740.0	0.0	0.0	-740.0	0.0
87500001	-744.0	0.0	0.0	-744.0	0.0
90000001	-734.0	0.0	0.0	-734.0	0.0
92500001	-716.0	0.0	0.0	-716.0	0.0
95000001	-724.0	0.0	0.0	-724.0	0.0
97500001	-730.0	0.0	0.0	-730.0	0.0
100000001	-730.0	0.0	0.0	-730.0	0.0
102500001	-756.0	0.0	0.0	-756.0	0.0
105000001	-736.0	0.0	0.0	-736.0	0.0
107500001	-750.0	0.0	0.0	-750.0	0.0
110000001	-728.0	0.0	0.0	-728.0	0.0
112500001	-736.0	0.0	0.0	-736.0	0.0
115000001	-746.0	0.0	0.0	-746.0	0.0
117500001	-744.0	0.0	0.0	-744.0	0.0
120000001	-730.0	0.0	0.0	-730.0	0.0
122500001	-732.0	0.0	0.0	-732.0	0.0
125000001	-726.0	0.0	0.0	-726.0	0.0
127500001	-744.0	0.0	0.0	-744.0	0.0
130000001	-736.0	0.0	0.0	-736.0	0.0
132500001	-736.0	0.0	0.0	-736.0	0.0
135000001	-738.0	0.0	0.0	-738.0	0.0
137500001	-752.0	0.0	0.0	-752.0	0.0
140000001	-700.0	0.0	0.0	-700.0	0.0
142500001	-722.0	0.0	0.0	-722.0	0.0
145000001	-752.0	0.0	0.0	-752.0	0.0
147500001	-750.0	0.0	0.0	-750.0	0.0
150000001	-748.0	0.0	0.0	-748.0	0.0
152500001	-742.0	0.0	0.0	-742.0	0.0
155000001	-730.0	0.0	0.0	-730.0	0.0
157500001	-748.0	0.0	0.0	-748.0	0.0
160000001	-746.0	0.0	0.0	-746.0	0.0
162500001	-742.0	0.0	0.0	-742.0	0.0
165000001	-742.0	0.0	0.0	-742.0	0.0
167500001	-736.0	0.0	0.0	-736.0	0.0
170000001	-732.0	0.0	0.0	-732.0	0.0
172500001	-720.0	0.0	0.0	-720.0	0.0
175000001	-728.0	0.0	0.0	-728.0	0.0
177500001	-738.0	0.0	0.0	-738.0	0.0
180000001	-728.0	0.0	0.0	-728.0	0.0
182500001	-754.0	0.0	0.0	-754.0	0.0
185000001	-742.0	0.0	0.0	-742.0	0.0
187500001	-720.0	0.0	0.0	-720.0	0.0
190000001	-744.0	0.0	0.0	-744.0	0.0
192500001	-740.0	0.0	0.0	-740.0	0.0
195000001	-734.0	0.0	0.0	-734.0	0.0
197500001	-744.0	0.0	0.0	-744.0	0.0
200000001	-722.0	0.0	0.0	-722.0	0.0
202500001	-716.0	0.0	0.0	-716.0	0.0
205000001	-736.0	0.0	0.0	-736.0	0.0
207500001	-732.0	0.0	0.0	-732.0	0.0
210000001	-740.0	0.0	0.0	-740.0	0.0
